"","ListingKey","ListingNumber","ListingCreationDate","CreditGrade","Term","LoanStatus","ClosedDate","BorrowerAPR","BorrowerRate","LenderYield","EstimatedEffectiveYield","EstimatedLoss","EstimatedReturn","ProsperRating..numeric.","ProsperRating..Alpha.","ProsperScore","ListingCategory..numeric.","BorrowerState","Occupation","EmploymentStatus","EmploymentStatusDuration","IsBorrowerHomeowner","CurrentlyInGroup","GroupKey","DateCreditPulled","CreditScoreRangeLower","CreditScoreRangeUpper","FirstRecordedCreditLine","CurrentCreditLines","OpenCreditLines","TotalCreditLinespast7years","OpenRevolvingAccounts","OpenRevolvingMonthlyPayment","InquiriesLast6Months","TotalInquiries","CurrentDelinquencies","AmountDelinquent","DelinquenciesLast7Years","PublicRecordsLast10Years","PublicRecordsLast12Months","RevolvingCreditBalance","BankcardUtilization","AvailableBankcardCredit","TotalTrades","TradesNeverDelinquent..percentage.","TradesOpenedLast6Months","DebtToIncomeRatio","IncomeRange","IncomeVerifiable","StatedMonthlyIncome","LoanKey","TotalProsperLoans","TotalProsperPaymentsBilled","OnTimeProsperPayments","ProsperPaymentsLessThanOneMonthLate","ProsperPaymentsOneMonthPlusLate","ProsperPrincipalBorrowed","ProsperPrincipalOutstanding","ScorexChangeAtTimeOfListing","LoanCurrentDaysDelinquent","LoanFirstDefaultedCycleNumber","LoanMonthsSinceOrigination","LoanNumber","LoanOriginalAmount","LoanOriginationDate","LoanOriginationQuarter","MemberKey","MonthlyLoanPayment","LP_CustomerPayments","LP_CustomerPrincipalPayments","LP_InterestandFees","LP_ServiceFees","LP_CollectionFees","LP_GrossPrincipalLoss","LP_NetPrincipalLoss","LP_NonPrincipalRecoverypayments","PercentFunded","Recommendations","InvestmentFromFriendsCount","InvestmentFromFriendsAmount","Investors"
"1","1021339766868145413AB3B",193129,"2007-08-26 19:09:29.263000000","C",36,"Completed","2009-08-14 00:00:00",0.16516,0.158,0.138,NA,NA,NA,NA,"",NA,0,"CO","Other","Self-employed",2,"True","True","","2007-08-26 18:41:46.780000000",640,659,"2001-10-11 00:00:00",5,4,12,1,24,3,3,2,472,4,0,0,0,0,1500,11,0.81,0,0.17,"$25,000-49,999","True",3083.333333,"E33A3400205839220442E84",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,78,19141,9425,"2007-09-12 00:00:00","Q3 2007","1F3E3376408759268057EDA",330.43,11396.14,9425,1971.14,-133.18,0,0,0,0,1,0,0,0,258
"2","10273602499503308B223C1",1209647,"2014-02-27 08:28:07.900000000","",36,"Current","",0.12016,0.092,0.082,0.0796,0.0249,0.0547,6,"A",7,2,"CO","Professional","Employed",44,"False","False","","2014-02-27 08:28:14",680,699,"1996-03-18 00:00:00",14,14,29,13,389,3,5,0,0,0,1,0,3989,0.21,10266,29,1,2,0.18,"$50,000-74,999","True",6125,"9E3B37071505919926B1D82",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,134815,10000,"2014-03-03 00:00:00","Q1 2014","1D13370546739025387B2F4",318.93,0,0,0,0,0,0,0,0,1,0,0,0,1
"3","0EE9337825851032864889A",81716,"2007-01-05 15:00:47.090000000","HR",36,"Completed","2009-12-17 00:00:00",0.28269,0.275,0.24,NA,NA,NA,NA,"",NA,0,"GA","Other","Not available",NA,"False","True","783C3371218786870A73D20","2007-01-02 14:09:10.060000000",480,499,"2002-07-27 00:00:00",NA,NA,3,0,0,0,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.06,"Not displayed","True",2083.333333,"6954337960046817851BCB2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,86,6466,3001,"2007-01-17 00:00:00","Q1 2007","5F7033715035555618FA612",123.32,4186.63,3001,1185.63,-24.2,0,0,0,0,1,0,0,0,41
"4","0EF5356002482715299901A",658116,"2012-10-22 11:02:35.010000000","",36,"Current","",0.12528,0.0974,0.0874,0.0849,0.0249,0.06,6,"A",9,16,"GA","Skilled Labor","Employed",113,"True","False","","2012-10-22 11:02:32",800,819,"1983-02-28 00:00:00",5,5,29,7,115,0,1,4,10056,14,0,0,1444,0.04,30754,26,0.76,0,0.15,"$25,000-49,999","True",2875,"A0393664465886295619C51",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,16,77296,10000,"2012-11-01 00:00:00","Q4 2012","9ADE356069835475068C6D2",321.45,5143.2,4091.09,1052.11,-108.01,0,0,0,0,1,0,0,0,158
"5","0F023589499656230C5E3E2",909464,"2013-09-14 18:38:39.097000000","",36,"Current","",0.24614,0.2085,0.1985,0.18316,0.0925,0.09066,3,"D",4,2,"MN","Executive","Employed",44,"True","False","","2013-09-14 18:38:44",680,699,"2004-02-20 00:00:00",19,19,49,6,220,1,9,0,0,0,0,0,6193,0.81,695,39,0.95,2,0.26,"$100,000+","True",9583.333333,"A180369302188889200689E",1,11,11,0,0,11000,9947.9,NA,0,NA,6,102670,15000,"2013-09-20 00:00:00","Q3 2013","36CE356043264555721F06C",563.97,2819.85,1563.22,1256.63,-60.27,0,0,0,0,1,0,0,0,20
"6","0F05359734824199381F61D",1074836,"2013-12-14 08:26:37.093000000","",60,"Current","",0.15425,0.1314,0.1214,0.11567,0.0449,0.07077,5,"B",10,1,"NM","Professional","Employed",82,"True","False","","2013-12-14 08:26:40",740,759,"1973-03-01 00:00:00",21,17,49,13,1410,0,2,0,0,0,0,0,62999,0.39,86509,47,1,0,0.36,"$100,000+","True",8333.333333,"C3D63702273952547E79520",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,123257,15000,"2013-12-24 00:00:00","Q4 2013","874A3701157341738DE458F",342.37,679.34,351.89,327.45,-25.33,0,0,0,0,1,0,0,0,1
"7","0F0A3576754255009D63151",750899,"2013-04-12 09:52:56.147000000","",36,"Current","",0.31032,0.2712,0.2612,0.2382,0.1275,0.1107,2,"E",2,1,"KS","Sales - Retail","Employed",172,"False","False","","2013-04-12 09:52:53",680,699,"2000-09-29 00:00:00",10,7,20,6,214,0,0,0,0,0,0,0,5812,0.72,1929,16,0.68,0,0.27,"$25,000-49,999","True",2083.333333,"CE963680102927767790520",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11,88353,3000,"2013-04-18 00:00:00","Q2 2013","AA4535764146102879D5959",122.67,1226.7,604.25,622.45,-22.95,0,0,0,0,1,0,0,0,1
"8","0F1035772717087366F9EA7",768193,"2013-05-05 06:49:27.493000000","",36,"Current","",0.23939,0.2019,0.1919,0.1783,0.0799,0.0984,4,"C",4,2,"CA","Laborer","Employed",103,"False","False","","2013-05-05 06:49:25",700,719,"1999-02-25 00:00:00",6,6,10,5,101,3,16,0,0,0,1,0,1260,0.13,2181,10,0.8,0,0.24,"$25,000-49,999","True",3355.75,"0C87368108902149313D53B",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10,90051,10000,"2013-05-13 00:00:00","Q2 2013","737F347089545035681C074",372.6,3353.4,1955.89,1397.51,-69.21,0,0,0,0,1,0,0,0,1
"9","0F043596202561788EA13D5",1023355,"2013-12-02 10:43:39.117000000","",36,"Current","",0.0762,0.0629,0.0529,0.05221,0.0099,0.04231,7,"AA",9,7,"IL","Food Service","Employed",269,"True","False","","2013-12-02 10:43:39",820,839,"1993-04-01 00:00:00",17,16,32,12,219,1,6,0,0,0,0,0,9906,0.11,77696,29,1,1,0.25,"$25,000-49,999","True",3333.333333,"02163700809231365A56A1C",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,121268,10000,"2013-12-12 00:00:00","Q4 2013","49A53699682291323D04D66",305.54,611.08,505.58,105.5,-16.77,0,0,0,0,1,0,0,0,1
"10","0F043596202561788EA13D5",1023355,"2013-12-02 10:43:39.117000000","",36,"Current","",0.0762,0.0629,0.0529,0.05221,0.0099,0.04231,7,"AA",11,7,"IL","Food Service","Employed",269,"True","False","","2013-12-02 10:43:39",820,839,"1993-04-01 00:00:00",17,16,32,12,219,1,6,0,0,0,0,0,9906,0.11,77696,29,1,1,0.25,"$25,000-49,999","True",3333.333333,"02163700809231365A56A1C",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,121268,10000,"2013-12-12 00:00:00","Q4 2013","49A53699682291323D04D66",305.54,611.08,505.58,105.5,-16.77,0,0,0,0,1,0,0,0,1
