"","Index","NumberOfLoans","RatingCategory","BorrowerAPR","CreditScoreRangeUpper","CreditGrade","ProsperRating..Alpha.","CreditScoreCat","ProsperRatingCat"
"1",1,1,"CreditGrade",0.16516,659,"C","","(640,680]","(0.16,0.2]"
"3",2,1,"CreditGrade",0.28269,499,"HR","","(0,540]","(0.25,0.3]"
"12",3,1,"CreditGrade",0.15033,659,"C","","(640,680]","(0.1,0.16]"
"18",4,1,"CreditGrade",0.13202,779,"AA","","(760,840]","(0.1,0.16]"
"22",5,1,"CreditGrade",0.21488,639,"D","","(600,640]","(0.2,0.25]"
"40",6,1,"CreditGrade",0.15211,699,"B","","(680,720]","(0.1,0.16]"
"43",7,1,"CreditGrade",0.303,539,"HR","","(0,540]","(0.3,0.35]"
"47",8,1,"CreditGrade",0.1717,679,"C","","(640,680]","(0.16,0.2]"
"60",9,1,"CreditGrade",0.16717,659,"C","","(640,680]","(0.16,0.2]"
"63",10,1,"CreditGrade",0.23748,619,"D","","(600,640]","(0.2,0.25]"
"64",11,1,"CreditGrade",0.29776,639,"D","","(600,640]","(0.25,0.3]"
"67",12,1,"CreditGrade",0.16802,639,"D","","(600,640]","(0.16,0.2]"
"69",13,1,"CreditGrade",0.21554,599,"E","","(540,600]","(0.2,0.25]"
"77",14,1,"CreditGrade",0.25861,559,"E","","(540,600]","(0.25,0.3]"
"79",15,1,"CreditGrade",0.18454,739,"A","","(720,760]","(0.16,0.2]"
"91",16,1,"CreditGrade",0.19178,619,"D","","(600,640]","(0.16,0.2]"
"93",17,1,"CreditGrade",0.08292,839,"AA","","(760,840]","(0,0.1]"
"102",18,1,"CreditGrade",0.20421,579,"E","","(540,600]","(0.2,0.25]"
"109",19,1,"CreditGrade",0.2832,659,"C","","(640,680]","(0.25,0.3]"
"114",20,1,"CreditGrade",0.30564,539,"HR","","(0,540]","(0.3,0.35]"
"115",21,1,"CreditGrade",0.16727,679,"C","","(640,680]","(0.16,0.2]"
"118",22,1,"CreditGrade",0.10235,759,"A","","(720,760]","(0.1,0.16]"
"122",23,1,"CreditGrade",0.15428,719,"B","","(680,720]","(0.1,0.16]"
"123",24,1,"CreditGrade",0.08718,739,"A","","(720,760]","(0,0.1]"
"124",25,1,"CreditGrade",0.13223,799,"AA","","(760,840]","(0.1,0.16]"
"128",26,1,"CreditGrade",0.29743,539,"HR","","(0,540]","(0.25,0.3]"
"129",27,1,"CreditGrade",0.18824,519,"HR","","(0,540]","(0.16,0.2]"
"132",28,1,"CreditGrade",0.20623,759,"A","","(720,760]","(0.2,0.25]"
"133",29,1,"CreditGrade",0.13012,699,"B","","(680,720]","(0.1,0.16]"
"137",30,1,"CreditGrade",0.21679,679,"C","","(640,680]","(0.2,0.25]"
"143",31,1,"CreditGrade",0.15882,719,"B","","(680,720]","(0.1,0.16]"
"147",32,1,"CreditGrade",0.09939,759,"A","","(720,760]","(0,0.1]"
"157",33,1,"CreditGrade",0.18454,699,"B","","(680,720]","(0.16,0.2]"
"163",34,1,"CreditGrade",0.08483,779,"AA","","(760,840]","(0,0.1]"
"165",35,1,"CreditGrade",0.16436,539,"HR","","(0,540]","(0.16,0.2]"
"173",36,1,"CreditGrade",0.24753,599,"E","","(540,600]","(0.2,0.25]"
"174",37,1,"CreditGrade",0.10642,799,"AA","","(760,840]","(0.1,0.16]"
"179",38,1,"CreditGrade",0.24856,519,"HR","","(0,540]","(0.2,0.25]"
"185",39,1,"CreditGrade",0.2659,499,"HR","","(0,540]","(0.25,0.3]"
"189",40,1,"CreditGrade",0.19835,659,"C","","(640,680]","(0.16,0.2]"
"192",41,1,"CreditGrade",0.30781,619,"D","","(600,640]","(0.3,0.35]"
"194",42,1,"CreditGrade",0.23937,559,"E","","(540,600]","(0.2,0.25]"
"202",43,1,"CreditGrade",0.15713,699,"B","","(680,720]","(0.1,0.16]"
"211",44,1,"CreditGrade",0.16607,659,"C","","(640,680]","(0.16,0.2]"
"214",45,1,"CreditGrade",0.16184,799,"AA","","(760,840]","(0.16,0.2]"
"216",46,1,"CreditGrade",0.18726,679,"C","","(640,680]","(0.16,0.2]"
"218",47,1,"CreditGrade",0.29776,559,"E","","(540,600]","(0.25,0.3]"
"221",48,1,"CreditGrade",0.30564,599,"E","","(540,600]","(0.3,0.35]"
"223",49,1,"CreditGrade",0.1272,799,"AA","","(760,840]","(0.1,0.16]"
"227",50,1,"CreditGrade",0.11749,619,"D","","(600,640]","(0.1,0.16]"
"242",51,1,"CreditGrade",0.37453,579,"E","","(540,600]","(0.35,0.6]"
"248",52,1,"CreditGrade",0.19582,559,"E","","(540,600]","(0.16,0.2]"
"250",53,1,"CreditGrade",0.29776,499,"HR","","(0,540]","(0.25,0.3]"
"251",54,1,"CreditGrade",0.08857,739,"A","","(720,760]","(0,0.1]"
"252",55,1,"CreditGrade",0.16647,719,"B","","(680,720]","(0.16,0.2]"
"253",56,1,"CreditGrade",0.29925,539,"HR","","(0,540]","(0.25,0.3]"
"259",57,1,"CreditGrade",0.16461,639,"D","","(600,640]","(0.16,0.2]"
"260",58,1,"CreditGrade",0.15651,659,"C","","(640,680]","(0.1,0.16]"
"262",59,1,"CreditGrade",0.10336,759,"A","","(720,760]","(0.1,0.16]"
"265",60,1,"CreditGrade",0.1911,659,"C","","(640,680]","(0.16,0.2]"
"272",61,1,"CreditGrade",0.24753,659,"C","","(640,680]","(0.2,0.25]"
"274",62,1,"CreditGrade",0.30271,559,"HR","","(540,600]","(0.3,0.35]"
"276",63,1,"CreditGrade",0.20896,579,"E","","(540,600]","(0.2,0.25]"
"294",64,1,"CreditGrade",0.24753,679,"C","","(640,680]","(0.2,0.25]"
"299",65,1,"CreditGrade",0.19128,659,"C","","(640,680]","(0.16,0.2]"
"309",66,1,"CreditGrade",0.20735,639,"D","","(600,640]","(0.2,0.25]"
"311",67,1,"CreditGrade",0.12724,619,"D","","(600,640]","(0.1,0.16]"
"315",68,1,"CreditGrade",0.13202,739,"A","","(720,760]","(0.1,0.16]"
"321",69,1,"CreditGrade",0.14942,659,"C","","(640,680]","(0.1,0.16]"
"325",70,1,"CreditGrade",0.13411,699,"B","","(680,720]","(0.1,0.16]"
"326",71,1,"CreditGrade",0.13453,699,"B","","(680,720]","(0.1,0.16]"
"327",72,1,"CreditGrade",0.30465,599,"E","","(540,600]","(0.3,0.35]"
"331",73,1,"CreditGrade",0.15377,699,"B","","(680,720]","(0.1,0.16]"
"333",74,1,"CreditGrade",0.2565,539,"HR","","(0,540]","(0.25,0.3]"
"337",75,1,"CreditGrade",0.17904,499,"HR","","(0,540]","(0.16,0.2]"
"339",76,1,"CreditGrade",0.127,699,"B","","(680,720]","(0.1,0.16]"
"340",77,1,"CreditGrade",0.30168,599,"E","","(540,600]","(0.3,0.35]"
"342",78,1,"CreditGrade",0.37352,539,"HR","","(0,540]","(0.35,0.6]"
"346",79,1,"CreditGrade",0.08991,799,"AA","","(760,840]","(0,0.1]"
"347",80,1,"CreditGrade",0.1215,719,"B","","(680,720]","(0.1,0.16]"
"349",81,1,"CreditGrade",0.13353,659,"C","","(640,680]","(0.1,0.16]"
"357",82,1,"CreditGrade",0.21674,599,"E","","(540,600]","(0.2,0.25]"
"363",83,1,"CreditGrade",0.14974,719,"B","","(680,720]","(0.1,0.16]"
"367",84,1,"CreditGrade",0.25506,599,"E","","(540,600]","(0.25,0.3]"
"368",85,1,"CreditGrade",0.30704,579,"E","","(540,600]","(0.3,0.35]"
"369",86,1,"CreditGrade",0.20735,679,"C","","(640,680]","(0.2,0.25]"
"370",87,1,"CreditGrade",0.37453,579,"E","","(540,600]","(0.35,0.6]"
"371",88,1,"CreditGrade",0.25802,479,"HR","","(0,540]","(0.25,0.3]"
"373",89,1,"CreditGrade",0.37453,619,"D","","(600,640]","(0.35,0.6]"
"376",90,1,"CreditGrade",0.17722,639,"D","","(600,640]","(0.16,0.2]"
"381",91,1,"CreditGrade",0.13411,759,"A","","(720,760]","(0.1,0.16]"
"384",92,1,"CreditGrade",0.10913,719,"B","","(680,720]","(0.1,0.16]"
"385",93,1,"CreditGrade",0.14197,719,"B","","(680,720]","(0.1,0.16]"
"396",94,1,"CreditGrade",0.15512,779,"AA","","(760,840]","(0.1,0.16]"
"400",95,1,"CreditGrade",0.25517,579,"E","","(540,600]","(0.25,0.3]"
"401",96,1,"CreditGrade",0.2148,699,"B","","(680,720]","(0.2,0.25]"
"402",97,1,"CreditGrade",0.29776,599,"E","","(540,600]","(0.25,0.3]"
"404",98,1,"CreditGrade",0.28545,579,"E","","(540,600]","(0.25,0.3]"
"405",99,1,"CreditGrade",0.11696,499,"HR","","(0,540]","(0.1,0.16]"
"406",100,1,"CreditGrade",0.09678,779,"AA","","(760,840]","(0,0.1]"
"2",101,1,"ProsperRating",0.12016,699,"","A","(680,720]","(0.1,0.16]"
"4",102,1,"ProsperRating",0.12528,819,"","A","(760,840]","(0.1,0.16]"
"5",103,1,"ProsperRating",0.24614,699,"","D","(680,720]","(0.2,0.25]"
"6",104,1,"ProsperRating",0.15425,759,"","B","(720,760]","(0.1,0.16]"
"7",105,1,"ProsperRating",0.31032,699,"","E","(680,720]","(0.3,0.35]"
"8",106,1,"ProsperRating",0.23939,719,"","C","(680,720]","(0.2,0.25]"
"9",107,1,"ProsperRating",0.0762,839,"","AA","(760,840]","(0,0.1]"
"10",108,1,"ProsperRating",0.0762,839,"","AA","(760,840]","(0,0.1]"
"11",109,1,"ProsperRating",0.27462,659,"","C","(640,680]","(0.25,0.3]"
"13",110,1,"ProsperRating",0.17969,699,"","B","(680,720]","(0.16,0.2]"
"14",111,1,"ProsperRating",0.13138,759,"","A","(720,760]","(0.1,0.16]"
"15",112,1,"ProsperRating",0.11695,759,"","A","(720,760]","(0.1,0.16]"
"16",113,1,"ProsperRating",0.35797,719,"","HR","(680,720]","(0.35,0.6]"
"17",114,1,"ProsperRating",0.30748,659,"","E","(640,680]","(0.3,0.35]"
"19",115,1,"ProsperRating",0.12528,759,"","A","(720,760]","(0.1,0.16]"
"20",116,1,"ProsperRating",0.24754,699,"","D","(680,720]","(0.2,0.25]"
"21",117,1,"ProsperRating",0.16732,679,"","B","(640,680]","(0.16,0.2]"
"23",118,1,"ProsperRating",0.35356,719,"","HR","(680,720]","(0.35,0.6]"
"24",119,1,"ProsperRating",0.28032,699,"","D","(680,720]","(0.25,0.3]"
"25",120,1,"ProsperRating",0.19859,679,"","C","(640,680]","(0.16,0.2]"
"26",121,1,"ProsperRating",0.30182,699,"","E","(680,720]","(0.3,0.35]"
"27",122,1,"ProsperRating",0.30748,679,"","E","(640,680]","(0.3,0.35]"
"28",123,1,"ProsperRating",0.11296,719,"","A","(680,720]","(0.1,0.16]"
"29",124,1,"ProsperRating",0.20268,739,"","C","(720,760]","(0.2,0.25]"
"30",125,1,"ProsperRating",0.15223,759,"","A","(720,760]","(0.1,0.16]"
"31",126,1,"ProsperRating",0.12782,759,"","A","(720,760]","(0.1,0.16]"
"32",127,1,"ProsperRating",0.35797,699,"","HR","(680,720]","(0.35,0.6]"
"33",128,1,"ProsperRating",0.16324,679,"","B","(640,680]","(0.16,0.2]"
"34",129,1,"ProsperRating",0.08191,779,"","AA","(760,840]","(0,0.1]"
"35",130,1,"ProsperRating",0.22966,659,"","C","(640,680]","(0.2,0.25]"
"36",131,1,"ProsperRating",0.19108,719,"","B","(680,720]","(0.16,0.2]"
"37",132,1,"ProsperRating",0.32446,699,"","E","(680,720]","(0.3,0.35]"
"38",133,1,"ProsperRating",0.28544,659,"","D","(640,680]","(0.25,0.3]"
"39",134,1,"ProsperRating",0.0893,819,"","AA","(760,840]","(0,0.1]"
"41",135,1,"ProsperRating",0.1963,699,"","C","(680,720]","(0.16,0.2]"
"42",136,1,"ProsperRating",0.23318,719,"","B","(680,720]","(0.2,0.25]"
"44",137,1,"ProsperRating",0.2129,659,"","C","(640,680]","(0.2,0.25]"
"45",138,1,"ProsperRating",0.21025,739,"","C","(720,760]","(0.2,0.25]"
"46",139,1,"ProsperRating",0.13227,759,"","A","(720,760]","(0.1,0.16]"
"48",140,1,"ProsperRating",0.15833,699,"","A","(680,720]","(0.1,0.16]"
"49",141,1,"ProsperRating",0.17522,739,"","B","(720,760]","(0.16,0.2]"
"50",142,1,"ProsperRating",0.11695,799,"","A","(760,840]","(0.1,0.16]"
"51",143,1,"ProsperRating",0.23984,659,"","D","(640,680]","(0.2,0.25]"
"52",144,1,"ProsperRating",0.202,659,"","B","(640,680]","(0.2,0.25]"
"53",145,1,"ProsperRating",0.14348,739,"","A","(720,760]","(0.1,0.16]"
"54",146,1,"ProsperRating",0.31032,659,"","E","(640,680]","(0.3,0.35]"
"55",147,1,"ProsperRating",0.20931,739,"","B","(720,760]","(0.2,0.25]"
