"","Index","NumberOfLoans","RatingCategory","BorrowerAPR","CreditScoreRangeUpper","CreditGrade","ProsperRating..Alpha."
"1",1,1,"CreditGrade",0.16516,659,"C",""
"3",2,1,"CreditGrade",0.28269,499,"HR",""
"12",3,1,"CreditGrade",0.15033,659,"C",""
"18",4,1,"CreditGrade",0.13202,779,"AA",""
"22",5,1,"CreditGrade",0.21488,639,"D",""
"40",6,1,"CreditGrade",0.15211,699,"B",""
"43",7,1,"CreditGrade",0.303,539,"HR",""
"47",8,1,"CreditGrade",0.1717,679,"C",""
"60",9,1,"CreditGrade",0.16717,659,"C",""
"63",10,1,"CreditGrade",0.23748,619,"D",""
"64",11,1,"CreditGrade",0.29776,639,"D",""
"67",12,1,"CreditGrade",0.16802,639,"D",""
"69",13,1,"CreditGrade",0.21554,599,"E",""
"77",14,1,"CreditGrade",0.25861,559,"E",""
"79",15,1,"CreditGrade",0.18454,739,"A",""
"91",16,1,"CreditGrade",0.19178,619,"D",""
"93",17,1,"CreditGrade",0.08292,839,"AA",""
"102",18,1,"CreditGrade",0.20421,579,"E",""
"109",19,1,"CreditGrade",0.2832,659,"C",""
"114",20,1,"CreditGrade",0.30564,539,"HR",""
"115",21,1,"CreditGrade",0.16727,679,"C",""
"118",22,1,"CreditGrade",0.10235,759,"A",""
"122",23,1,"CreditGrade",0.15428,719,"B",""
"123",24,1,"CreditGrade",0.08718,739,"A",""
"124",25,1,"CreditGrade",0.13223,799,"AA",""
"128",26,1,"CreditGrade",0.29743,539,"HR",""
"129",27,1,"CreditGrade",0.18824,519,"HR",""
"132",28,1,"CreditGrade",0.20623,759,"A",""
"133",29,1,"CreditGrade",0.13012,699,"B",""
"137",30,1,"CreditGrade",0.21679,679,"C",""
"143",31,1,"CreditGrade",0.15882,719,"B",""
"147",32,1,"CreditGrade",0.09939,759,"A",""
"157",33,1,"CreditGrade",0.18454,699,"B",""
"163",34,1,"CreditGrade",0.08483,779,"AA",""
"165",35,1,"CreditGrade",0.16436,539,"HR",""
"173",36,1,"CreditGrade",0.24753,599,"E",""
"174",37,1,"CreditGrade",0.10642,799,"AA",""
"179",38,1,"CreditGrade",0.24856,519,"HR",""
"185",39,1,"CreditGrade",0.2659,499,"HR",""
"189",40,1,"CreditGrade",0.19835,659,"C",""
"192",41,1,"CreditGrade",0.30781,619,"D",""
"194",42,1,"CreditGrade",0.23937,559,"E",""
"202",43,1,"CreditGrade",0.15713,699,"B",""
"211",44,1,"CreditGrade",0.16607,659,"C",""
"214",45,1,"CreditGrade",0.16184,799,"AA",""
"216",46,1,"CreditGrade",0.18726,679,"C",""
"218",47,1,"CreditGrade",0.29776,559,"E",""
"221",48,1,"CreditGrade",0.30564,599,"E",""
"223",49,1,"CreditGrade",0.1272,799,"AA",""
