"","ProsperRating","CreditGrade","Credit Score Group","Number Of Loans"
"1","","","640 to 600",6
"2","","","680 to 640",32
"3","","","720 to 680",22
"4","","","760 to 720",43
"5","","","900 to 760",28
"6","","AA","900 to 760",3417
"7","","A","760 to 720",3242
"8","","B","720 to 680",4312
"9","","C","680 to 640",5550
"10","","D","640 to 600",5075
"11","","E","600 to 550",3218
"12","","HR","550 to 0",2679
"13","","HR","600 to 550",738
"14","","NC","550 to 0",130
"15","AA","","720 to 680",245
"16","AA","","760 to 720",1332
"17","AA","","900 to 760",3795
"18","A","","680 to 640",938
"19","A","","720 to 680",3918
"20","A","","760 to 720",5178
"21","A","","900 to 760",4517
"22","B","","640 to 600",51
"23","B","","680 to 640",2636
"24","B","","720 to 680",5919
"25","B","","760 to 720",5016
"26","B","","900 to 760",1959
"27","C","","640 to 600",60
"28","C","","680 to 640",5969
"29","C","","720 to 680",7685
"30","C","","760 to 720",3502
"31","C","","900 to 760",1129
"32","D","","640 to 600",718
"33","D","","680 to 640",5880
"34","D","","720 to 680",4560
"35","D","","760 to 720",2362
"36","D","","900 to 760",754
"37","E","","640 to 600",1354
"38","E","","680 to 640",4931
"39","E","","720 to 680",2617
"40","E","","760 to 720",657
"41","E","","900 to 760",236
"42","HR","","640 to 600",510
"43","HR","","680 to 640",2628
"44","HR","","720 to 680",2685
"45","HR","","760 to 720",858
"46","HR","","900 to 760",254
